"player","team","posQB","posRB","posTE","posWR","year","lag_ppg","lag_age","lag_starts","lag_rk_ovr","lag_pass_comp","lag_pass_att","lag_pass_yds","lag_pass_td","lag_pass_int","lag_rush_att","lag_rush_yds","lag_y_a","lag_rush_td","lag_rec_tgt","lag_rec_rec","lag_rec_yds","lag_y_r","lag_rec_td","lag_fumb_times","lag_fumb_fl","lag_score_tds","lag_score_2pm","lag_score_2pp","lag_rk_vbd","lag_rk_pos","lag_rk_probowl","lag_rk_allpro"
"Christian McCaffrey","SFO",0,1,0,0,2023,22.34375,27,16,1,0,0,0,0,0,272,1459,5.36,14,83,67,564,8.42,7,3,2,21,0,0,157,1,1,1
"CeeDee Lamb","DAL",0,0,0,1,2023,19.7352941176471,24,17,2,0,0,0,0,0,14,113,8.07,2,181,135,1749,12.96,12,3,2,14,1,0,131,1,1,1
"Josh Allen","BUF",1,0,0,0,2023,23.1176470588235,27,17,3,385,579,4306,29,18,111,524,4.72,15,0,0,0,0,0,7,4,15,0,3,122,1,0,0
"Tyreek Hill","MIA",0,0,0,1,2023,19.78125,29,16,4,0,0,0,0,0,6,15,2.5,0,171,119,1799,15.12,13,1,1,13,0,0,120,2,1,1
"Jalen Hurts","PHI",1,0,0,0,2023,21,25,17,5,352,538,3858,23,15,157,605,3.85,15,0,0,0,0,0,9,5,15,0,0,89,2,1,0
"Raheem Mostert","MIA",0,1,0,0,2023,17.0333333333333,31,15,6,0,0,0,0,0,209,1012,4.84,18,32,25,175,7,3,4,1,21,0,0,80,2,1,0
"Amon-Ra St. Brown","DET",0,0,0,1,2023,16.96875,24,16,7,0,0,0,0,0,4,24,6,0,164,119,1515,12.73,10,1,1,10,0,0,78,3,1,1
"Dak Prescott","DAL",1,0,0,0,2023,20.1764705882353,30,17,8,410,590,4516,36,9,55,242,4.4,2,0,0,0,0,0,4,2,2,0,2,76,3,1,0
"Mike Evans","TAM",0,0,0,1,2023,14.3235294117647,30,17,9,0,0,0,0,0,0,0,0,0,136,79,1255,15.89,13,0,0,13,0,0,70,4,1,0
"Lamar Jackson","BAL",1,0,0,0,2023,20.6875,26,16,10,307,457,3678,24,7,148,821,5.55,5,0,0,0,0,0,11,6,5,0,1,65,4,1,1
